mood,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0,0.129,0.66,0.639,0,0.256,-5.364,0.223,173.994,0.75
0,0.0644,0.611,0.807,0,0.217,-4.12,0.0263,112.964,0.436
0,0.0536,0.617,0.711,1.65e-05,0.116,-8.797,0.0461,90.001,0.611
0,0.177,0.795,0.75,0,0.0875,-3.604,0.0526,115.005,0.762
0,0.00351,0.715,0.872,3.84e-05,0.107,-3.835,0.0509,93.043,0.748
0,0.128,0.574,0.629,0,0.271,-8.815,0.0363,153.119,0.786
0,0.849,0.323,0.405,0.000544,0.138,-8.533,0.0413,145.104,0.274
0,0.055,0.658,0.736,0,0.0934,-8.215,0.0328,91.977,0.714
0,0.523,0.749,0.661,0,0.124,-9.096,0.129,143.974,0.833
0,0.0574,0.409,0.765,0,0.0922,-5.674,0.104,97.383,0.365
0,0.104,0.378,0.666,0,0.113,-5.986,0.0803,79.797,0.247
0,0.546,0.779,0.257,0,0.287,-9.345,0.0594,125.237,0.798
0,0.00725,0.459,0.895,0,0.206,-3.126,0.0805,181.04,0.572
0,0.0257,0.705,0.609,0,0.0846,-4.897,0.0307,115.474,0.476
0,0.228,0.684,0.481,0,0.157,-10.305,0.0391,121.208,0.48
0,0.0717,0.516,0.764,0,0.115,-6.223,0.0366,148.021,0.376
0,0.0277,0.518,0.861,1.42e-06,0.249,-4.002,0.0673,141.986,0.457
0,0.00611,0.767,0.889,0,0.402,-2.988,0.0963,119.93,0.843
0,0.238,0.59,0.536,0,0.123,-8.977,0.214,119.958,0.533
0,0.0483,0.691,0.631,1.13e-05,0.104,-6.478,0.0368,92.004,0.8
0,0.21,0.448,0.838,0.000131,0.131,-5.257,0.0557,139.863,0.254
0,0.0222,0.617,0.832,1.92e-05,0.116,-4.192,0.0942,127.022,0.573
0,0.263,0.658,0.762,0,0.127,-3.028,0.0425,163.864,0.823
0,0.186,0.652,0.608,0,0.116,-7.996,0.0525,95.061,0.491
0,0.0192,0.494,0.723,0.0322,0.134,-4.559,0.0441,144.036,0.152
0,0.0265,0.669,0.78,1.63e-06,0.143,-4.287,0.053,139.945,0.738
0,0.0183,0.74,0.516,0,0.0558,-6.233,0.0507,139.918,0.698
0,0.154,0.61,0.893,4.41e-05,0.021,-3.681,0.0921,104.031,0.673
0,0.256,0.697,0.488,0,0.146,-9.651,0.109,90.048,0.445
0,0.0328,0.691,0.513,0,0.08,-9.261,0.041,109.942,0.573
0,0.213,0.604,0.62,0,0.0822,-9.29,0.0535,90.07,0.142
0,0.0338,0.663,0.861,0,0.082,-3.398,0.109,119.963,0.654
0,0.00786,0.637,0.69,0,0.124,-4.057,0.0405,129.857,0.457
0,0.297,0.633,0.673,0,0.206,-6.403,0.258,86.776,0.659
0,0.102,0.569,0.721,3.38e-05,0.205,-5.889,0.0375,180.06,0.927
0,0.0505,0.855,0.587,0.00714,0.105,-4.589,0.0336,111.97,0.64
0,0.47,0.848,0.854,2.29e-06,0.106,-3.305,0.0845,120.024,0.876
0,0.0371,0.764,0.705,1.94e-05,0.0943,-5.279,0.0278,101.003,0.672
0,0.201,0.892,0.714,0.000234,0.0521,-6.055,0.141,100.972,0.817
